Date,Entraînement,Exercise,Equipement,Exécution,Type de Set,Reps,Charge,Durée,Distance,csv.headers.steps,RPE,Calories Brûlées,Durée de l'Entraînement
2025-01-05 18:48:04,Sunday Hams & Arms,Soulevé de terre roumain,Barre,Bilatéral,Normale,8,80,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Soulevé de terre roumain,Barre,Bilatéral,Normale,10,80,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Soulevé de terre roumain,Barre,Bilatéral,Normale,10,80,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Extension de mollet assis,Machine guidée à poulie,Bilatéral,Normale,15,40,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Extension de mollet assis,Machine guidée à poulie,Bilatéral,Normale,15,40,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Extension de mollet assis,Machine guidée à poulie,Bilatéral,Normale,15,40,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Extension de mollet assis,Machine guidée à poulie,Bilatéral,Normale,15,40,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Extension de jambes,Machine guidée à poulie,Bilatéral,Normale,15,50,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Extension de jambes,Machine guidée à poulie,Bilatéral,Normale,15,50,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Extension de jambes,Machine guidée à poulie,Bilatéral,Normale,13,50,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Curl biceps supination,Poulie vis-à-vis,Unilatéral,Normale,13,15,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Curl biceps supination,Poulie vis-à-vis,Unilatéral,Normale,13,15,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Curl biceps supination,Poulie vis-à-vis,Unilatéral,Normale,12,15,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Curl biceps supination,Poulie vis-à-vis,Unilatéral,Normale,12,15,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Extension verticale,Poulie vis-à-vis,Bilatéral,Normale,10,25,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Extension verticale,Poulie vis-à-vis,Bilatéral,Normale,11,25,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Extension verticale,Poulie vis-à-vis,Bilatéral,Normale,10,25,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Extension verticale,Poulie vis-à-vis,Bilatéral,Normale,10,25,0,0,0,0,406,01:37:22
2025-01-05 18:48:04,Sunday Hams & Arms,Flexion de poignet,Haltères,Unilatéral,Normale,15,10,0,0,0,0,406,01:37:22
